id,x,y,width,height
ylc,740,228,312,244
sequence_knitting,1092,228,312,244
order_menu,1444,228,312,244
machine_settings,1796,228,312,244
service,2148,228,312,244
load_save,44,324,312,244
edit_knitting_program,44,608,312,244
carriage_speed,44,892,312,244
racking_correction,44,1176,312,244
setup_pattern,44,1460,312,244
release_clamps,2844,324,312,244
yarn_carrier,2844,608,312,244
stitch_tension,2844,892,312,244
same_sen_area_size,2844,1176,312,244
fabric_take_down,2844,1460,312,244
machine_start,564,1552,312,244
machine_stop,916,1552,312,244
changeable_monitoring,1268,1552,312,244
cycle_counters,1620,1552,312,244
manual_interventions,1972,1552,312,244
comb_take_down,2324,1552,312,244
help,644,2144,312,244
direct_commands,1284,2144,312,244
messages,1604,2144,312,244
speed_75,2244,2144,312,244
additional_functions,2564,2144,312,244
confirm_message,2884,2144,312,244
